Název mapy,Odkaz na StareMapy.cz
Charte des nördlichen Theils vom dem Königreiche Böhmen welcher die zur Leitmeritzer Dioeces gehörigen Kreise nebst den angrenzenden Theilen bis zur Hauptstadt Prag enthaelt un IX Blaettern,http://staremapy.georeferencer.cz/map/Pbl5uPd1mpouyb5SOtmn8T/201302270752-03hipN/georeference,Národní knihovna ČR
Čechy (severovýchod),http://staremapy.georeferencer.cz/map/CkhqQyxwlU2CualrmvnMGp/201302270752-SNBiSl/georeference,Národní knihovna ČR
Uebersichts plan des Laengenprofils der projectirten eisenbahn in Galizien,http://staremapy.georeferencer.cz/map/ZyoQOvqtFj1VgwGO9wAvJE/201302270752-v710f8/georeference,Národní knihovna ČR
[l'Atlas curieux de Monde] (torzo).,http://staremapy.georeferencer.cz/map/3JSMAfuu9NlZxR4TRnRdlS/201302270753-NdhwEi/georeference,Národní knihovna ČR
Atlas Silesiae,http://staremapy.georeferencer.cz/map/OrstSogjlsCfOivfcuMyaH/201302270752-ifKJI5/georeference,Národní knihovna ČR
Dolní Rakousy 1670,http://staremapy.georeferencer.cz/map/SQd0jVTrjWvnlRQVGInltb/201302270753-4koH5b/georeference,Národní knihovna ČR
Universal-Historie auf der Land-Karten,http://staremapy.georeferencer.cz/map/PwlGcj7kgYRQqE6BHhPLtw/201302270753-z6XuVm/georeference,Národní knihovna ČR
[l'Atlas curieux de Monde] (torzo).,http://staremapy.georeferencer.cz/map/O7oVUJ9bWJZ5Mj6ZBfDMrF/201302270753-rS979u/georeference,Národní knihovna ČR
[l'Atlas curieux de Monde] (torzo).,http://staremapy.georeferencer.cz/map/6iwuQpv3KLSBmaCa7TMTVC/201302270753-aspevE/georeference,Národní knihovna ČR
Mappa geographica regni Bohemiae in duodecim circulos divisae,http://staremapy.georeferencer.cz/map/djnQTVuDFUp0SL6FMpXJyU/201302270753-v8udYn/georeference,Národní knihovna ČR
Asie.,http://staremapy.georeferencer.cz/map/CkXeawG5TGu7meE0eKgiAQ/201302270754-EQUpWZ/georeference,Národní knihovna ČR
"Theatrum Orbis Terrarum, sive Atlas Novus in quo Tabula et Descriptiones Omnium Regionum,  (torzo).",http://staremapy.georeferencer.cz/map/b82stzvwWdFl9E1AE470aN/201302270754-PQ34BY/georeference,Národní knihovna ČR
"Moraviae, quae olim marcomannorum sedes, corographia.",http://staremapy.georeferencer.cz/map/DBQSeJangQgcoTfKnnlrov/201510282016-LGcLdn/georeference,Národní knihovna ČR
Charte des nördlichen Theils vom dem Königreiche Böhmen welcher die zur Leitmeritzer Dioeces gehörigen Kreise nebst den angrenzenden Theilen bis zur Hauptstadt Prag enthaelt un IX Blaettern,http://staremapy.georeferencer.cz/map/JjxxCzjgaALr7bhWfn4v7U/201302270752-EDXrK5/georeference,Národní knihovna ČR
Charte des nördlichen Theils vom dem Königreiche Böhmen welcher die zur Leitmeritzer Dioeces gehörigen Kreise nebst den angrenzenden Theilen bis zur Hauptstadt Prag enthaelt un IX Blaettern,http://staremapy.georeferencer.cz/map/v5jRzbdAXVCAE8UrWLPHLf/201302270752-NonDUT/georeference,Národní knihovna ČR
[Atlas Novus] (torzo).,http://staremapy.georeferencer.cz/map/W5w4RJ5jCsbjVLm1Eo7Ue0/201302270754-ZNrRzZ/georeference,Národní knihovna ČR
Alpinae seu foederatae Rhaetiae subditarumque.,http://staremapy.georeferencer.cz/map/08VBIUaes4BMXyRS1Cjk0q/201302270754-mysKwK/georeference,Národní knihovna ČR
Uebersichts plan des Laengenprofils der projectirten eisenbahn in Galizien,http://staremapy.georeferencer.cz/map/CY8acuPm4av84bMjgxdfFw/201302270752-VmdJgP/georeference,Národní knihovna ČR
Beschreibung des hochloblichen Fürstentum Obern und Niedern Bayern,http://staremapy.georeferencer.cz/map/petRZ6GkP6GmoKeVYMsYmp/201302270752-qrFOnD/georeference,Národní knihovna ČR
March-Tabella von dem königlich pohlnischen und chur-fürstlich sächsischen in königlich französischen Sold unter Commando Sr. königlichen Hoheit Prinz Xaverii gestandenen Auxiliar-Corps wie solches vom 2ten April 1758 aus Ungarn in währenden Campagnen und bis zum 18ten April 1763 bey der Einrückung in Sachssen seinen March prosequiret hat,http://staremapy.georeferencer.cz/map/Z6gwKlPGqZt9i4DQeNWe1f/201302270753-Y9DWMU/georeference,Národní knihovna ČR
Atlas Silesiae,http://staremapy.georeferencer.cz/map/nUMdIAlFQDdBaxh0iRyTsL/201302270752-pophMu/georeference,Národní knihovna ČR
Übersicht der k.k. Prager Fahrposten im Jahre 1833.,http://staremapy.georeferencer.cz/map/zAOteNJgBZR5C04FIQYFo1/201302270754-4VCuPC/georeference,Národní knihovna ČR
"Table alphabetique des noms de villes, villages, etc. qui sont sur la Carte des Etats de la couronne de Boheme.",http://staremapy.georeferencer.cz/map/znefhgbbFcKpFAT1dGk21h/201302270754-hx3TzI/georeference,Národní knihovna ČR
Mappa chorographica novissima et completissima totius regni Bohemiae in duodecim circulos divisae,http://staremapy.georeferencer.cz/map/JLPciOtm5xacW093xxDRAe/201610152251-28cKfZ/georeference,Národní knihovna ČR
Charte des nördlichen Theils vom dem Königreiche Böhmen welcher die zur Leitmeritzer Dioeces gehörigen Kreise nebst den angrenzenden Theilen bis zur Hauptstadt Prag enthaelt un IX Blaettern,http://staremapy.georeferencer.cz/map/Dc1MkqYeHOAakti7NJXWrh/201610152251-a6SBNI/georeference,Národní knihovna ČR
Koncept mapy revíru Krakovany,http://staremapy.georeferencer.cz/map/E4dIWksZBe2Cw4BRxk1Gk2/201501021445-PVubjn/georeference,Státní oblastní archiv v Zámrsku
Porostní mapa revíru Semín,http://staremapy.georeferencer.cz/map/0vt1QVST7d4R8UNWpfcN8P/201505241541-pDv0gm/georeference,Státní oblastní archiv v Zámrsku
"Koncept mapy kostelních pozemků v Kuněticích, Přelouči, Semíně, Selmicích a Labských Chrčicích",http://staremapy.georeferencer.cz/map/cPF86GpkAfXTVYAsI4lQnS/201501212054-uQliAM/georeference,Státní oblastní archiv v Zámrsku
Indikační skica mapy stabilního katastru pro obec Kaliště III,http://staremapy.georeferencer.cz/map/L4S2wbs15m64ETTNtBi9VL/201501192334-U9bwBv/georeference,Státní oblastní archiv v Zámrsku
Porostní mapa kostelního lesa v Širokém Dole,http://staremapy.georeferencer.cz/map/HzKsETY5xEMV7nVurZadQw/201501041514-hdL8f5/georeference,Státní oblastní archiv v Zámrsku
Mapa domanického revíru,http://staremapy.georeferencer.cz/map/GGgKBO9jONh9TFTH1IZYoH/201412282101-tXb44T/georeference,Státní oblastní archiv v Zámrsku
Porostní mapa revíru Hrádek  Sekce II.,http://staremapy.georeferencer.cz/map/H03tau3Pm2i54YID6Vku5p/201501140915-FaLGK8/georeference,Státní oblastní archiv v Zámrsku
Porostní mapa revíru Huneš,http://staremapy.georeferencer.cz/map/pZ9Ih2fafCOv6CUZTvMg90/201501041818-NQod4C/georeference,Státní oblastní archiv v Zámrsku
Mapa lesa v revíru Dětřichov,http://staremapy.georeferencer.cz/map/ozBhnZ4AeHwcUfOhWbh9DE/201501041514-HNOYpz/georeference,Státní oblastní archiv v Zámrsku
Koncept mapy vysušených Mnětického rybníka a Malá a Velká Klárka k propachtování na rok 1830,http://staremapy.georeferencer.cz/map/CBGjMEBURilHTjwqpPWtBp/201502112325-KZ6Nt3/georeference,Státní oblastní archiv v Zámrsku
Indikační skica mapy stabilního katastru pro obec Doubravice ad III.,http://staremapy.georeferencer.cz/map/MnHv24LBVob2cjUGampaFE/201502230005-XruCzD/georeference,Státní oblastní archiv v Zámrsku
Náčrt mapy hájemství Karle,http://staremapy.georeferencer.cz/map/oxsTfWf1OLVMqvAeLH4mQT/201501021501-JOVJSd/georeference,Státní oblastní archiv v Zámrsku
"Koncept mapy kostelních pozemků v Dříteči, Kojicích a Týnci nad Labem",http://staremapy.georeferencer.cz/map/xLaHai45MAjZO4pyLvUbdK/201412221300-ZXArxt/georeference,Státní oblastní archiv v Zámrsku
Indikační skica mapy stabilního katastru pro obec Dětrichov XII,http://staremapy.georeferencer.cz/map/QeHzFFasoGP6tBlmh4Cgie/201412231859-ySkt9U/georeference,Státní oblastní archiv v Zámrsku
Mapa dominikálních lesů lubenského revíru,http://staremapy.georeferencer.cz/map/yvm6vVfKodyszjAwKpRPBc/201412211845-mqoukp/georeference,Státní oblastní archiv v Zámrsku
Mapa revíru Huneš,http://staremapy.georeferencer.cz/map/XRV7VUOsJGCge7UyLOz03V/201412260839-q0gF9A/georeference,Státní oblastní archiv v Zámrsku
Indikační skica mapy stabilního katastru pro obec Voleč I.-V.,http://staremapy.georeferencer.cz/map/3APno7yoaYUtLWZwUCpgGz/201506090914-136sup/georeference,Státní oblastní archiv v Zámrsku
Mapa rybníka Baroch,http://staremapy.georeferencer.cz/map/WLNmG93VMQX7TmodZCbpe8/201509182039-oUyspF/georeference,Státní oblastní archiv v Zámrsku
Mapa lesa Bažantnice u Dolní Rovně,http://staremapy.georeferencer.cz/map/N77wLbVTEc71EZuaHqWOrN/201510161230-vGmLAf/georeference,Státní oblastní archiv v Zámrsku
Mapa nájemních dílů patronátních pozemků na katastru obce Kojice,http://staremapy.georeferencer.cz/map/esuaxrOTBV1fevVmLSp86A/201510161232-WwsJLC/georeference,Státní oblastní archiv v Zámrsku
Náčrt mapy hájemství Okrollowetz,http://staremapy.georeferencer.cz/map/RqkT60y8LO8cBLDfn51CJU/201510161300-Q87iRx/georeference,Státní oblastní archiv v Zámrsku
Mapa vsi Zdislav,http://staremapy.georeferencer.cz/map/VD1Vx3vEQUXeaKmLZgk8lq/201411291649-fIY3Jm/georeference,Státní oblastní archiv v Zámrsku
Porostní mapa zádušních lesů farnosti Kopidlno-Vršce I,http://staremapy.georeferencer.cz/map/uZtet7QsabFU1Yqw83VHpR/201411281004-fg9WvV/georeference,Státní oblastní archiv v Zámrsku
Mapa dubiny u Zaháje a Orlova,http://staremapy.georeferencer.cz/map/4ZO92vENJxsUmwJlPRnZ97/201411292011-Bf88fF/georeference,Státní oblastní archiv v Zámrsku
Mapa rybníka Bukovina,http://staremapy.georeferencer.cz/map/u6YsHwlG1XcyBQb4vtsZza/201606201838-0lh28W/georeference,Státní oblastní archiv v Zámrsku
Porostní mapa zádušních lesů farnosti Kopidlno-Vršce,http://staremapy.georeferencer.cz/map/6aXFyg1DXkvboZZBHEWct7/201412151751-NEAue6/georeference,Státní oblastní archiv v Zámrsku
Indikační skica mapy stabilního katastru pro obec Nová Ves II.,http://staremapy.georeferencer.cz/map/htYoXollfBWJ4GUMCDuv6n/201412171628-4zdVkZ/georeference,Státní oblastní archiv v Zámrsku
Indikační skica mapy stabilního katastru pro obec Čepí ad II.,http://staremapy.georeferencer.cz/map/xfTvn5US6lGNmeIjl9JYLA/201412162028-bj7Hz5/georeference,Státní oblastní archiv v Zámrsku
Náčrt mapy dominikálních pozemků u Bukoviny,http://staremapy.georeferencer.cz/map/hEIsyXqemdV4dRIU7jknOC/201501031855-cuthYP/georeference,Státní oblastní archiv v Zámrsku
Mapa pozemků vrchnostenského dvora v Popovci,http://staremapy.georeferencer.cz/map/7a8SDEM9Hq23gFtOsec0ZJ/201412301235-M9XlCo/georeference,Státní oblastní archiv v Zámrsku
Porostní mapa revíru Mlýnec,http://staremapy.georeferencer.cz/map/IVOF9SauisgL0VGbWlCUlQ/201412021229-kKtV0s/georeference,Státní oblastní archiv v Zámrsku
Indikační skica mapy stabilního katastru pro obec Časy I.-IV.,http://staremapy.georeferencer.cz/map/y8vkzfEUY2SRkK5digZgkz/201412072326-B1Mtop/georeference,Státní oblastní archiv v Zámrsku
Porostní mapa revíru Ráby Sekce I.,http://staremapy.georeferencer.cz/map/uAS19LWKW8zAf5Ylwp1bQu/201412291950-JTm1SW/georeference,Státní oblastní archiv v Zámrsku
Indikační skica mapy stabilního katastru pro obec Kladina I.-II.,http://staremapy.georeferencer.cz/map/Do4fpc4MF8w8zykc2NnKc6/201501230000-pBkzYM/georeference,Státní oblastní archiv v Zámrsku
Indikační skica mapy stabilního katastru pro obec Cerekvice nad Loučnou V,http://staremapy.georeferencer.cz/map/uNPkAxLma91wQRWLoVxrcZ/201501221642-hpX3Vi/georeference,Státní oblastní archiv v Zámrsku
Mapa rustikálních a dominikálních pozemků ve vsi Bělá,http://staremapy.georeferencer.cz/map/7GAsUUt5OE8S0k0aURBwd9/201502061335-XBbsRA/georeference,Státní oblastní archiv v Zámrsku
Mapa polesí Chlumek,http://staremapy.georeferencer.cz/map/vvPKzT2RPOlobtBUPTu2hC/201503031717-zSXWBT/georeference,Státní oblastní archiv v Zámrsku
Koncept mapy revíru Kasalice,http://staremapy.georeferencer.cz/map/rQHDqVuFh0q1OH0l9x5N7F/201411251840-Y2Oooz/georeference,Státní oblastní archiv v Zámrsku
Mapa dominikálních lesů lubenského revíru,http://staremapy.georeferencer.cz/map/st6U10faTjery2McZYpoYA/201501200044-ZEDosW/georeference,Státní oblastní archiv v Zámrsku
"Mapa kostelních pozemků v Bohdanči, Opatovicích, Dříteči, Přelouči a Semíně",http://staremapy.georeferencer.cz/map/a4whMoo20V1tdhFZbtm8Oq/201501221052-AGkarI/georeference,Státní oblastní archiv v Zámrsku
Indikační skica mapy stabilního katastru pro obec Koclířov a osadu Hřebeč IX,http://staremapy.georeferencer.cz/map/pJZPNHXdqipmE9EEF9Hk8D/201501241459-YtuHV8/georeference,Státní oblastní archiv v Zámrsku
"Koncept mapy kostelních pozemků v Dašicích, Komárově, Platěnicích, Ostřetíně, Velinách a Ředicích",http://staremapy.georeferencer.cz/map/WxEbsvCXNSO8h6RWUlXBiw/201502181907-876dLw/georeference,Státní oblastní archiv v Zámrsku
Indikační skica mapy stabilního katastru pro obec Karle a osadu Ostrý Kámen VII,http://staremapy.georeferencer.cz/map/A54GXmRJbianp4o6C7cyHU/201502181824-OI3Wpi/georeference,Státní oblastní archiv v Zámrsku
"Mapa kostelních pozemků v Ostřetíně, Velinách, Chrčicích a Dašicích",http://staremapy.georeferencer.cz/map/Lh0u9x4S53ZK4ApNNjuJ7J/201503110921-atmNC9/georeference,Státní oblastní archiv v Zámrsku
Hospodářská mapa revíru Stéblová,http://staremapy.georeferencer.cz/map/1dZyq9cQyxKJ82cT3XF8km/201507131054-AMrJY6/georeference,Státní oblastní archiv v Zámrsku
Hospodářská mapa zádušních les v libáňské farnosti,http://staremapy.georeferencer.cz/map/IxRn9GabVWfQaasp5RmRAU/201501171651-lJaYvR/georeference,Státní oblastní archiv v Zámrsku
Indikační skica mapy stabilního katastru pro obec Chvojenec a osadu Drahoš I.-VII.,http://staremapy.georeferencer.cz/map/E2OpTC343n9LOFeAMlVS5o/201501021501-Ow7xBk/georeference,Státní oblastní archiv v Zámrsku
Indikační skica mapy stabilního katastru pro obec Lány (předměstí města Litomyšle) IIII,http://staremapy.georeferencer.cz/map/mYIYp4Ul7xJbaDFf8uLpxt/201501111441-qCd21P/georeference,Státní oblastní archiv v Zámrsku
Mapa propachtovaných pozemků u hájovny v Mendryce,http://staremapy.georeferencer.cz/map/6wKG3QvZ5wDAW8g6f35AiL/201501031739-a61nOB/georeference,Státní oblastní archiv v Zámrsku
"Mapa kostelních pozemků v Rohovládově Bělé, Osicích a Ždánicích",http://staremapy.georeferencer.cz/map/LyQhMQOU753nt8Hl80ZTib/201501172109-08p3h2/georeference,Státní oblastní archiv v Zámrsku
Indikační skica mapy stabilního katastru pro obec Vysoké Chvojno III.,http://staremapy.georeferencer.cz/map/3NcdcyOJTeGAe8m8Z75B5M/201501171123-qFGYnd/georeference,Státní oblastní archiv v Zámrsku
Indikační skica mapy stabilního katastru pro město Pardubice ad III.,http://staremapy.georeferencer.cz/map/ngZevJ5u0R2S8ytR9SmoMh/201501232129-fTvX8F/georeference,Státní oblastní archiv v Zámrsku
Mapa rybníků Újezd a Bohumileč,http://staremapy.georeferencer.cz/map/Ja8LaaT881p5xsLJOviYbN/201502131609-xMDkTw/georeference,Státní oblastní archiv v Zámrsku
"Náčrt mapy hájemství Lezník, Chmelík a Trstenice",http://staremapy.georeferencer.cz/map/ITtcJE0vqhfqCQc3Vmnq0X/201503211238-DzYR8A/georeference,Státní oblastní archiv v Zámrsku
Náčrt mapy hájemství Karle a Čistá,http://staremapy.georeferencer.cz/map/ZRlOSCjyYJ3M74nv84MaOG/201503142011-0EcQvA/georeference,Státní oblastní archiv v Zámrsku
Mapa oblasti severně od Špindlerova Mlýna Sectio 14,http://staremapy.georeferencer.cz/map/bTD7S6HaAlPlNvzVU3uf5i/201503281630-v8uVbj/georeference,Státní oblastní archiv v Zámrsku
Indikační skica mapy stabilního katastru pro obec Vítanov a osadu Kouty,http://staremapy.georeferencer.cz/map/khi66DHCrCWDfoJl6Sis9h/201503201807-RhLSKF/georeference,Státní oblastní archiv v Zámrsku
Mapa dominikálních lesů lubenského revíru,http://staremapy.georeferencer.cz/map/z0t2T4nKvBuhstWZGoGXTO/201503201809-5r1z6q/georeference,Státní oblastní archiv v Zámrsku
Náčrt mapy poříčského polesí,http://staremapy.georeferencer.cz/map/spKukznDygMf18raVBzb6K/201503271322-FGbOVO/georeference,Státní oblastní archiv v Zámrsku
Indikační skica mapy stabilního katastru pro obec Moravany I.-IV.,http://staremapy.georeferencer.cz/map/cZsPSWnm68HOW28pUcjU6u/201511261418-S676qX/georeference,Státní oblastní archiv v Zámrsku
Hospodářská mapa zádušních lesů farností Kopidlno-Vršce,http://staremapy.georeferencer.cz/map/WhJYfXlj8kXUrfitzPMI9r/201412031037-EfKOZc/georeference,Státní oblastní archiv v Zámrsku
Mapa revíru Strakov,http://staremapy.georeferencer.cz/map/fn8lCrxFFCkD1FatST93mA/201502070147-vKAEul/georeference,Státní oblastní archiv v Zámrsku
"Mapa rybníků Soprč, Mladinov a Benátky",http://staremapy.georeferencer.cz/map/XXauChI7eHSJxYLQWet6Zb/201510171922-0EhMA2/georeference,Státní oblastní archiv v Zámrsku
Mapa lesů města Pardubice nacházejících se za Zeleným předměstím (koncept),http://staremapy.georeferencer.cz/map/t2AxGwMUyJwkkiGSKJMLUt/201411251825-Jt4dW8/georeference,Státní oblastní archiv v Zámrsku
Porostní mapa revíru Výrov,http://staremapy.georeferencer.cz/map/VWiF4I4LzycAD92NStBslA/201510181739-DNsY0C/georeference,Státní oblastní archiv v Zámrsku
Mapa pozemků bývalého rybníka Žernov,http://staremapy.georeferencer.cz/map/sPJ47wc0oSSCWuCy4GcIEn/201512192350-WSIduN/georeference,Státní oblastní archiv v Zámrsku
Koncept mapy Čivického revíru,http://staremapy.georeferencer.cz/map/7UQhyRyucXLaef33LPWquK/201601241643-wq34Tv/georeference,Státní oblastní archiv v Zámrsku
Porostní mapa revíru Semín,http://staremapy.georeferencer.cz/map/oGglieXSFuMPfkD5PQ7PMI/201505241541-2aYb7D/georeference,Státní oblastní archiv v Zámrsku
Koncept mapy lesa Na Týništi u Žďánic,http://staremapy.georeferencer.cz/map/nsplpBYxs3yGpQKCE64QF8/201412162043-yZJ2Yu/georeference,Státní oblastní archiv v Zámrsku
Mapa části lesa Miráček v Albrechtickém revíru (koncept),http://staremapy.georeferencer.cz/map/7oyrRMitzmmO4ZbYzUap5Y/201501170917-XEK9XB/georeference,Státní oblastní archiv v Zámrsku
Porostní mapa zádušních lesů farnosti Kopidlno-Vršce III,http://staremapy.georeferencer.cz/map/pHtxzAeoep4acSxfScvue8/201501171646-VcJr9c/georeference,Státní oblastní archiv v Zámrsku
Náčrt mapy dominikálních pozemků osady Damašek u Pusté Kamenice,http://staremapy.georeferencer.cz/map/UXlFKcBuQrmELKEfc4BfLI/201501191851-YLOYj4/georeference,Státní oblastní archiv v Zámrsku
